90 Release D. 0 | is with | Software Revis ion D. 00
xx Part Number M8000-9001G Printed | is in | Germany 02/06 4512 610 13551
New | is in | Release
New | is in | Release
New | is in | Release
New | is in | Release
New | is in | Release
88 Visual Alarm Status Information | is in | Other Bed Window 88 Care Group Alarms 88 Telemetry Data Overview 89 Unpairing
Patient | is with | MMS
107 | Switching | Arrhythmia Analysis
107 | Switching Arrhythmia Analysis On | ECG Lead
Arrhythmia Alarms | are | Indicated
Arrhythmia Alarms | are | How Indicated
Yellow Arrhythmia Alarms | are | How Indicated
Yellow Arrhythmia Alarms | are | Indicated

Compliant | is with | EMC Standards
Use 325 Manufacturer | for | Information 326 BIS Manufacturer 's
information | is valid for | above IntelliVue patient monitors
It | tells | you
alarms section | gives | overview
alarms section | gives | overview of alarms
remaining sections | care for | equipment
remaining sections | tell | you
sections | care for | equipment
sections | tell | you
these | contain | important information
these | contain | information
Your monitor | is | highly configurable
Your monitor | is | configurable
Failure | may result in | death
Failure | observe | warning
Failure | may result in | death to user
care | is | where necessary for use of product
care | is | where necessary
care | is | where necessary for safe use of product
special care | is | where necessary for use
special care | is necessary for | safe use of product
special care | is | where necessary for safe use of product
special care | is necessary for | safe use
special care | is | necessary
special care | is necessary for | use of product
special care | is necessary for | use
care | is | where necessary for use
care | is necessary for | use
care | is | where necessary for safe use
care | is necessary for | safe use
special care | is | where necessary
care | is necessary for | safe use of product
special care | is | where necessary for safe use
special care | is | where necessary for use of product
care | is necessary for | use of product
care | is | necessary
• caution | alerts | you
Failure | may result in | injury
Failure | may result in | minor personal injury
Failure | observe | caution
Failure | may result in | minor personal injury to product
Failure | may result in | minor injury
Failure | may result in | minor injury to product
Failure | may result in | injury to product
Failure | may result in | personal injury
Failure | may result in | personal injury to product
Monitor | refers to | patient monitor
• Monitor | refers to | patient monitor
Monitor | refers to | entire patient monitor
• Monitor | refers to | entire patient monitor
monitor | on | display such measurements
Screen | refer | Screen
you | see on | monitor 's display
monitoring solution | Introducing | IntelliVue Family Philips IntelliVue family
monitoring solution | Introducing | IntelliVue Family Philips IntelliVue family of patient monitors
convenience | .1 | 1 Basic Operation
convenience | .1 | 1 Operation
IntelliVue FamilyYour monitor stores data | is in | trend
it | linking | separate modules
it | linking | modules
it | Combining | patient surveillance
it | allows | monitoring
You | can see | trends
You | can see | vital signs
You | can see | signs
